Time ,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery Remaining,GPS State,Download,Upload
27,00:00:00,1824244,1144000,44,3,-61,3,79,1,456,17
10002,00:00:10,1812244,1586000,44,3,-67,3,79,1,456,17
20043,00:00:20,1828204,1586000,44,3,-63,3,79,1,456,17
30031,00:00:30,1794804,1586000,44,3,-63,3,79,1,456,17
40012,00:00:40,1816568,1586000,44,3,-65,3,79,1,456,17
50001,00:00:50,1781596,1586000,44,3,-60,3,79,1,456,17
60043,00:01:00,1823864,1144000,44,3,-60,3,79,1,456,17
70033,00:01:10,1806756,1586000,44,3,-60,3,79,1,456,17
80029,00:01:20,1821872,839000,44,3,-65,3,79,1,456,17
90018,00:01:30,1805176,1586000,44,3,-59,3,79,1,456,17
100017,00:01:40,1822904,1586000,44,3,-59,3,79,1,456,17
110005,00:01:50,1810224,1586000,44,3,-65,3,79,1,456,17
120007,00:02:00,1790844,1586000,44,3,-63,3,79,1,456,17
130068,00:02:10,1818592,1586000,44,3,-63,3,79,1,456,17
140051,00:02:20,1843640,1586000,44,3,-66,3,79,1,456,17
150047,00:02:30,1816888,902000,44,3,-61,3,79,1,456,17
160037,00:02:40,1825108,1586000,44,3,-61,3,79,1,456,17
170040,00:02:50,1824324,1586000,44,3,-61,3,79,1,456,17
180021,00:03:00,1775696,1586000,44,3,-71,3,79,1,456,17
190014,00:03:10,1803452,1586000,44,3,-62,3,79,1,456,17
200012,00:03:20,1794920,1586000,44,3,-66,3,79,1,456,17
210056,00:03:30,1824520,1586000,44,3,-59,3,79,1,456,17
220052,00:03:40,1811024,1586000,44,3,-59,3,79,1,456,17
230010,00:03:50,1816344,1586000,44,3,-59,3,79,1,456,17
240045,00:04:00,1790760,1586000,44,3,-59,3,78,1,456,17
250046,00:04:10,1808476,1586000,44,3,-64,3,78,1,456,17
260039,00:04:20,1817076,1586000,44,3,-61,3,78,1,456,17
270036,00:04:30,1810524,1586000,44,3,-61,3,78,1,456,17
280029,00:04:40,1824372,1248000,44,3,-64,3,78,1,456,17
290022,00:04:50,1776328,1586000,44,3,-63,3,78,1,456,17
300016,00:05:00,1788184,1586000,44,3,-63,3,78,1,456,17
310054,00:05:10,1823772,1586000,44,3,-63,3,78,1,456,17
320047,00:05:20,1824416,1586000,44,3,-63,3,78,1,456,17
330041,00:05:30,1789292,1586000,44,3,-63,3,78,1,456,17
340049,00:05:40,1818152,1586000,44,3,-63,3,78,1,456,17
350040,00:05:50,1825828,1586000,44,3,-63,3,78,1,456,17
360036,00:06:00,1823748,1586000,44,3,-64,3,78,1,456,17
370032,00:06:10,1817264,1586000,44,3,-63,3,78,1,456,17
380023,00:06:20,1804912,1586000,44,3,-65,3,78,1,456,17
390016,00:06:30,1818348,1586000,44,3,-59,3,78,1,456,17
400054,00:06:40,1766668,1586000,44,3,-59,3,78,1,456,17
410044,00:06:50,1793616,1586000,44,3,-59,3,78,1,456,17
420037,00:07:00,1800960,1586000,44,3,-64,3,78,1,456,17
430033,00:07:10,1799400,1586000,44,3,-63,3,78,1,456,17
440021,00:07:20,1811224,1586000,44,3,-64,3,78,1,456,17
450061,00:07:30,1824848,1586000,44,3,-62,3,78,1,456,17
460050,00:07:40,1812060,1586000,44,3,-62,3,78,1,456,17
470046,00:07:50,1819640,1586000,44,3,-64,3,78,1,456,17
480041,00:08:00,1801984,1586000,44,3,-63,3,78,1,456,17
490033,00:08:10,1816588,1586000,44,3,-68,3,78,1,456,17
500026,00:08:20,1809756,1586000,44,3,-62,3,78,1,456,17
510018,00:08:30,1823932,1586000,44,3,-62,3,78,1,456,17
520061,00:08:40,1823564,1586000,44,3,-68,3,78,1,456,17
530053,00:08:50,1822748,1586000,44,3,-59,3,78,1,456,17
540047,00:09:00,1823732,1586000,44,3,-59,3,78,1,456,17
550052,00:09:10,1812472,1586000,44,3,-64,3,78,1,456,17
560053,00:09:20,1825748,1586000,44,3,-62,3,78,1,456,17
570050,00:09:30,1816508,1586000,44,3,-62,3,78,1,456,17
580044,00:09:40,1819196,1586000,44,3,-62,3,78,1,456,17
590028,00:09:50,1817832,1586000,44,3,-68,3,78,1,456,17
600024,00:10:00,1820744,1586000,44,3,-63,3,78,1,456,17
610067,00:10:10,1779260,1586000,44,3,-66,3,78,1,456,17
620063,00:10:20,1793148,1586000,44,3,-63,3,78,1,456,17
630052,00:10:30,1823932,1586000,44,3,-65,3,78,1,456,17
640045,00:10:40,1824180,1586000,44,3,-65,3,77,1,456,17
650038,00:10:50,1825748,1586000,44,3,-60,3,77,1,456,17
660032,00:11:00,1782564,1586000,44,3,-66,3,77,1,456,17
670035,00:11:10,1797880,1586000,44,3,-77,3,77,1,456,17
680024,00:11:20,1789200,1586000,44,3,-77,3,77,1,456,17
690065,00:11:30,1763264,1586000,44,3,-74,3,77,1,456,17
700049,00:11:40,1795556,1482000,44,3,-74,3,77,1,456,17
710047,00:11:50,1821956,1248000,44,3,-63,3,77,1,456,17
720033,00:12:00,1824160,1586000,44,3,-66,3,77,1,456,17
730021,00:12:10,1824360,1586000,44,3,-61,3,77,1,456,17
740056,00:12:20,1802808,546000,44,3,-65,3,77,1,456,17
750044,00:12:30,1826104,546000,44,3,-63,3,77,1,456,17
760031,00:12:40,1807904,1586000,44,3,-65,3,77,1,456,17
770071,00:12:50,1824720,546000,44,3,-63,3,77,1,456,17
780060,00:13:00,1815256,902000,44,3,-63,3,77,1,456,17
