Time,Minutes,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery Remaining (%) [%],GPS State,Download,Upload
50,00:00:00,1825912,1586000,40,3,-64,255,74,1,841,12
10014,00:00:10,1812464,1482000,40,3,-63,255,74,1,841,12
20007,00:00:20,1825724,1586000,40,3,-64,255,74,1,841,12
30045,00:00:30,1800752,1586000,40,3,-63,255,74,1,841,12
40038,00:00:40,1786508,1586000,40,3,-63,255,74,1,841,12
50028,00:00:50,1824468,1586000,40,3,-64,255,74,1,841,12
60026,00:01:00,1808188,1586000,40,3,-59,255,74,1,841,12
70016,00:01:10,1818868,1586000,40,3,-59,255,74,1,841,12
80010,00:01:20,1825700,1586000,40,3,-59,255,74,1,841,12
90054,00:01:30,1815692,1586000,40,3,-59,255,74,1,841,12
100047,00:01:40,1780136,1586000,40,3,-59,255,74,1,841,12
110041,00:01:50,1824976,1586000,40,3,-59,255,74,1,841,12
120029,00:02:00,1824672,1586000,40,3,-59,255,74,1,841,12
130031,00:02:10,1820468,1586000,40,3,-64,255,74,1,841,12
140020,00:02:20,1801296,1586000,40,3,-62,255,74,1,841,12
150005,00:02:30,1803884,902000,40,3,-73,255,74,1,841,12
160046,00:02:40,1781020,1586000,40,3,-58,255,74,1,841,12
170039,00:02:50,1823168,1586000,40,3,-58,255,74,1,841,12
180027,00:03:00,1825396,1586000,40,3,-58,255,73,1,841,12
190015,00:03:10,1811168,1586000,40,3,-58,255,73,1,841,12
200009,00:03:20,1813676,1586000,40,3,-66,255,73,1,841,12
210050,00:03:30,1809940,1586000,40,3,-62,255,73,1,841,12
220038,00:03:40,1814312,1586000,40,3,-62,255,73,1,841,12
230036,00:03:50,1824228,1586000,40,3,-64,255,73,1,841,12
240025,00:04:00,1820236,1586000,40,3,-63,255,73,1,841,12
250014,00:04:10,1819460,1586000,40,3,-63,255,73,1,841,12
260054,00:04:20,1823572,902000,40,3,-64,255,73,1,841,12
270042,00:04:30,1815688,1586000,40,3,-63,255,73,1,841,12
280038,00:04:40,1817644,546000,40,3,-64,255,73,1,841,12
290027,00:04:50,1801300,1586000,40,3,-63,255,73,1,841,12
300015,00:05:00,1821220,1586000,40,3,-63,255,73,1,841,12
310056,00:05:10,1826152,1586000,40,3,-63,255,73,1,841,12
320042,00:05:20,1782304,1482000,40,3,-63,255,73,1,841,12
330028,00:05:30,1814816,1586000,40,3,-63,255,73,1,841,12
340023,00:05:40,1805320,1586000,40,3,-63,255,73,1,841,12
350059,00:05:50,1804296,1482000,40,3,-63,255,73,1,841,12
360048,00:06:00,1794652,1248000,40,3,-63,255,73,1,841,12
370046,00:06:10,1823332,839000,40,3,-63,255,73,1,841,12
380040,00:06:20,1793052,902000,40,3,-63,255,73,1,841,12
390029,00:06:30,1809272,902000,40,3,-64,255,73,1,841,12
400024,00:06:40,1792388,902000,40,3,-64,255,73,1,841,12
410018,00:06:50,1799192,902000,40,3,-61,255,73,1,841,12
420018,00:07:00,1802536,902000,40,3,-64,255,73,1,841,12
430061,00:07:10,1823552,676000,40,3,-58,255,73,1,841,12
440062,00:07:20,1806960,902000,40,3,-58,255,73,1,841,12
450047,00:07:30,1814476,676000,40,3,-64,255,73,1,841,12
460040,00:07:40,1812804,902000,40,3,-64,255,73,1,841,12
470032,00:07:50,1812044,902000,40,3,-63,255,73,1,841,12
480027,00:08:00,1795016,839000,40,3,-64,255,73,1,841,12
490027,00:08:10,1805300,839000,40,3,-61,255,72,1,841,12
500025,00:08:20,1796876,902000,40,3,-65,255,72,1,841,12
510021,00:08:30,1809648,757000,40,3,-61,255,72,1,841,12
520061,00:08:40,1777308,546000,40,3,-64,255,72,1,841,12
530052,00:08:50,1823360,1248000,40,3,-64,255,72,1,841,12
540049,00:09:00,1816384,839000,40,3,-63,255,72,1,841,12
550039,00:09:10,1817384,1586000,40,3,-64,255,72,1,841,12
560030,00:09:20,1788864,676000,40,3,-63,255,72,1,841,12
570069,00:09:30,1818400,546000,40,3,-64,255,72,1,841,12
580064,00:09:40,1790672,1586000,40,3,-63,255,72,1,841,12
590057,00:09:50,1820484,1586000,40,3,-63,255,72,1,841,12
600045,00:10:00,1800936,1352000,40,3,-66,255,72,1,841,12
610042,00:10:10,1825424,1482000,40,3,-62,255,72,1,841,12
620032,00:10:20,1809428,1352000,40,3,-65,255,72,1,841,12
630033,00:10:30,1785916,1482000,40,3,-65,255,72,1,841,12
640064,00:10:40,1813740,1586000,40,3,-63,255,72,1,841,12
650066,00:10:50,1825284,1144000,40,3,-64,255,72,1,841,12
660060,00:11:00,1827996,1586000,40,3,-62,255,72,1,841,12
670066,00:11:10,1823092,1586000,40,3,-64,255,72,1,841,12
680049,00:11:20,1815184,1482000,40,3,-64,255,72,1,841,12
690043,00:11:30,1819084,757000,40,3,-77,255,72,1,841,12
700027,00:11:40,1825624,1586000,40,3,-61,255,72,1,841,12
710071,00:11:50,1821704,676000,40,3,-65,255,72,1,841,12
720060,00:12:00,1800448,902000,40,3,-65,255,72,1,841,12
730050,00:12:10,1821292,546000,40,3,-60,255,72,1,841,12
